Player,Round,Elite 8
Stephen,Elite 8,Gonzaga
Stephen,Elite 8,Iowa
Stephen,Elite 8,Baylor
Stephen,Elite 8,Texas Tech
Stephen,Elite 8,Michigan
Stephen,Elite 8,Alabama
Stephen,Elite 8,Illinois
Stephen,Elite 8,Houston
Stephen,Final 4,Gonzaga
Stephen,Final 4,Michigan
Stephen,Final 4,Baylor
Stephen,Final 4,Houston
Stephen,Championship,Gonzaga
Stephen,Championship,Baylor
Stephen,Champion,Gonzaga
Liza,Elite 8,Gonzaga
Liza,Elite 8,Kansas
Liza,Elite 8,Villanova
Liza,Elite 8,Arkansas
Liza,Elite 8,Florida State
Liza,Elite 8,Alabama
Liza,Elite 8,Georgia Tech
Liza,Elite 8,Houston
Liza,Final 4,Gonzaga
Liza,Final 4,Florida State
Liza,Final 4,Villanova
Liza,Final 4,Houston
Liza,Championship,Gonzaga
Liza,Championship,Houston
Liza,Champion,Gonzaga
Matt,Elite 8,Gonzaga
Matt,Elite 8,Iowa
Matt,Elite 8,Villanova
Matt,Elite 8,Texas Tech
Matt,Elite 8,Michigan
Matt,Elite 8,BYU
Matt,Elite 8,Illinois
Matt,Elite 8,Houston
Matt,Final 4,Gonzaga
Matt,Final 4,Michigan
Matt,Final 4,Texas Tech
Matt,Final 4,Illinois
Matt,Championship,Gonzaga
Matt,Championship,Illinois
Matt,Champion,Gonzaga
Kim,Elite 8,Virginia
Kim,Elite 8,Iowa
Kim,Elite 8,Baylor
Kim,Elite 8,Ohio State
Kim,Elite 8,Michigan
Kim,Elite 8,Alabama
Kim,Elite 8,Illinois
Kim,Elite 8,Houston
Kim,Final 4,Iowa
Kim,Final 4,Michigan
Kim,Final 4,Baylor
Kim,Final 4,Illinois
Kim,Championship,Iowa
Kim,Championship,Illinois
Kim,Champion,Illinois
Dani,Elite 8,Gonzaga
Dani,Elite 8,Iowa
Dani,Elite 8,Baylor
Dani,Elite 8,Ohio State
Dani,Elite 8,Michigan
Dani,Elite 8,Alabama
Dani,Elite 8,Illinois
Dani,Elite 8,West Virginia
Dani,Final 4,Gonzaga
Dani,Final 4,Michigan
Dani,Final 4,Baylor
Dani,Final 4,Illinois
Dani,Championship,Michigan
Dani,Championship,Illinois
Dani,Champion,Michigan
Mike,Elite 8,Gonzaga
Mike,Elite 8,Iowa
Mike,Elite 8,Baylor
Mike,Elite 8,Arkansas
Mike,Elite 8,Michigan
Mike,Elite 8,Alabama
Mike,Elite 8,Illinois
Mike,Elite 8,Houston
Mike,Final 4,Gonzaga
Mike,Final 4,Michigan
Mike,Final 4,Arkansas
Mike,Final 4,Illinois
Mike,Championship,Gonzaga
Mike,Championship,Illinois
Mike,Champion,Illinois
Ryan,Elite 8,Gonzaga
Ryan,Elite 8,Iowa
Ryan,Elite 8,Baylor
Ryan,Elite 8,Ohio State
Ryan,Elite 8,Michigan
Ryan,Elite 8,Alabama
Ryan,Elite 8,Illinois
Ryan,Elite 8,Houston
Ryan,Final 4,Gonzaga
Ryan,Final 4,Michigan
Ryan,Final 4,Baylor
Ryan,Final 4,Illinois
Ryan,Championship,Gonzaga
Ryan,Championship,Baylor
Ryan,Champion,Gonzaga
Nick,Elite 8,Gonzaga
Nick,Elite 8,Iowa
Nick,Elite 8,Baylor
Nick,Elite 8,Ohio State
Nick,Elite 8,Michigan
Nick,Elite 8,Alabama
Nick,Elite 8,Illinois
Nick,Elite 8,West Virginia
Nick,Final 4,Gonzaga
Nick,Final 4,Michigan
Nick,Final 4,Baylor
Nick,Final 4,Illinois
Nick,Championship,Gonzaga
Nick,Championship,Illinois
Nick,Champion,Gonzaga
Brittany,Elite 8,Gonzaga
Brittany,Elite 8,Iowa
Brittany,Elite 8,Baylor
Brittany,Elite 8,Florida
Brittany,Elite 8,Michigan
Brittany,Elite 8,Maryland
Brittany,Elite 8,Illinois
Brittany,Elite 8,Syracuse
Brittany,Final 4,Gonzaga
Brittany,Final 4,Michigan
Brittany,Final 4,Baylor
Brittany,Final 4,Illinois
Brittany,Championship,Gonzaga
Brittany,Championship,Illinois
Brittany,Champion,Gonzaga
End,End,End
